Date,Open,High,Low,Close,Volume,Timestamp
12/12/1980 16:00:00,0.51,0.52,0.51,0.51,2093900,345484800
12/15/1980 16:00:00,0.49,0.49,0.49,0.49,785200,345744000
12/16/1980 16:00:00,0.45,0.45,0.45,0.45,472000,345830400
12/17/1980 16:00:00,0.46,0.46,0.46,0.46,385900,345916800
12/18/1980 16:00:00,0.48,0.48,0.48,0.48,327900,346003200
12/19/1980 16:00:00,0.5,0.51,0.5,0.5,217100,346089600
12/22/1980 16:00:00,0.53,0.53,0.53,0.53,166800,346348800
12/23/1980 16:00:00,0.55,0.55,0.55,0.55,209600,346435200
12/24/1980 16:00:00,0.58,0.58,0.58,0.58,214300,346521600
12/26/1980 16:00:00,0.63,0.64,0.63,0.63,248100,346694400
12/29/1980 16:00:00,0.64,0.65,0.64,0.64,415900,346953600
12/30/1980 16:00:00,0.63,0.63,0.63,0.63,307500,347040000
12/31/1980 16:00:00,0.61,0.61,0.61,0.61,159600,347126400
1/2/1981 16:00:00,0.62,0.62,0.62,0.62,96700,347299200
1/5/1981 16:00:00,0.6,0.6,0.6,0.6,159500,347558400
1/6/1981 16:00:00,0.58,0.58,0.58,0.58,201600,347644800
1/7/1981 16:00:00,0.55,0.55,0.55,0.55,248600,347731200
1/8/1981 16:00:00,0.54,0.54,0.54,0.54,177800,347817600
1/9/1981 16:00:00,0.57,0.57,0.57,0.57,96000,347904000
1/12/1981 16:00:00,0.56,0.57,0.56,0.56,105800,348163200
1/13/1981 16:00:00,0.54,0.55,0.54,0.54,102900,348249600
1/14/1981 16:00:00,0.55,0.55,0.55,0.55,63800,348336000
1/15/1981 16:00:00,0.56,0.56,0.56,0.56,62800,348422400
1/16/1981 16:00:00,0.55,0.56,0.55,0.55,59800,348508800
1/19/1981 16:00:00,0.59,0.59,0.59,0.59,185600,348768000
1/20/1981 16:00:00,0.57,0.57,0.57,0.57,134300,348854400
1/21/1981 16:00:00,0.58,0.58,0.58,0.58,71000,348940800
1/22/1981 16:00:00,0.59,0.59,0.59,0.59,158700,349027200
1/23/1981 16:00:00,0.58,0.59,0.58,0.58,50100,349113600
1/26/1981 16:00:00,0.58,0.58,0.58,0.58,110000,349372800
1/27/1981 16:00:00,0.57,0.58,0.57,0.57,105800,349459200
1/28/1981 16:00:00,0.55,0.56,0.55,0.55,125700,349545600
1/29/1981 16:00:00,0.53,0.54,0.53,0.53,196000,349632000
1/30/1981 16:00:00,0.5,0.51,0.5,0.5,206200,349718400
2/2/1981 16:00:00,0.48,0.48,0.48,0.48,106100,349977600
2/3/1981 16:00:00,0.49,0.5,0.49,0.49,85500,350064000
2/4/1981 16:00:00,0.51,0.51,0.51,0.51,124400,350150400
2/5/1981 16:00:00,0.51,0.52,0.51,0.51,35400,350236800
2/6/1981 16:00:00,0.51,0.52,0.51,0.51,61900,350323200
2/9/1981 16:00:00,0.49,0.49,0.49,0.49,74800,350582400
2/10/1981 16:00:00,0.49,0.49,0.49,0.49,81900,350668800
2/11/1981 16:00:00,0.47,0.47,0.47,0.47,61800,350755200
2/12/1981 16:00:00,0.47,0.47,0.47,0.47,65000,350841600
2/13/1981 16:00:00,0.46,0.46,0.46,0.46,49800,350928000
2/17/1981 16:00:00,0.47,0.47,0.47,0.47,54800,351273600
2/18/1981 16:00:00,0.49,0.49,0.49,0.49,85900,351360000
2/19/1981 16:00:00,0.46,0.46,0.46,0.46,99600,351446400
2/20/1981 16:00:00,0.43,0.44,0.43,0.43,108800,351532800
2/23/1981 16:00:00,0.44,0.44,0.44,0.44,63000,351792000
2/24/1981 16:00:00,0.42,0.43,0.42,0.42,75800,351878400
2/25/1981 16:00:00,0.45,0.45,0.45,0.45,87000,351964800
2/26/1981 16:00:00,0.46,0.46,0.46,0.46,48400,352051200
2/27/1981 16:00:00,0.47,0.48,0.47,0.47,65900,352137600
3/2/1981 16:00:00,0.48,0.48,0.48,0.48,52500,352396800
3/3/1981 16:00:00,0.47,0.47,0.47,0.47,72200,352483200
3/4/1981 16:00:00,0.46,0.47,0.46,0.46,61200,352569600
3/5/1981 16:00:00,0.46,0.46,0.46,0.46,24000,352656000
3/6/1981 16:00:00,0.46,0.46,0.46,0.46,51800,352742400
3/9/1981 16:00:00,0.42,0.42,0.42,0.42,68400,353001600
3/10/1981 16:00:00,0.4,0.4,0.4,0.4,126700,353088000
3/11/1981 16:00:00,0.39,0.39,0.39,0.39,133300,353174400
3/12/1981 16:00:00,0.4,0.4,0.4,0.4,264500,353260800
3/13/1981 16:00:00,0.4,0.4,0.4,0.4,1032600,353347200
3/16/1981 16:00:00,0.41,0.42,0.41,0.41,166200,353606400
3/17/1981 16:00:00,0.43,0.44,0.43,0.43,195300,353692800
3/18/1981 16:00:00,0.46,0.46,0.46,0.46,164900,353779200
3/19/1981 16:00:00,0.46,0.46,0.46,0.46,168800,353865600
3/20/1981 16:00:00,0.46,0.46,0.46,0.46,65200,353952000
3/23/1981 16:00:00,0.48,0.48,0.48,0.48,98300,354211200
3/24/1981 16:00:00,0.48,0.48,0.48,0.48,125700,354297600
3/25/1981 16:00:00,0.47,0.47,0.47,0.47,31500,354384000
3/26/1981 16:00:00,0.46,0.46,0.46,0.46,54800,354470400
3/27/1981 16:00:00,0.44,0.44,0.44,0.44,54700,354556800
3/30/1981 16:00:00,0.44,0.45,0.44,0.44,44200,354816000
3/31/1981 16:00:00,0.44,0.44,0.44,0.44,71400,354902400
4/1/1981 16:00:00,0.43,0.44,0.43,0.43,152100,354988800
4/2/1981 16:00:00,0.47,0.47,0.47,0.47,140200,355075200
4/3/1981 16:00:00,0.47,0.48,0.47,0.47,73600,355161600
4/6/1981 16:00:00,0.46,0.47,0.46,0.46,101800,355420800
4/7/1981 16:00:00,0.46,0.46,0.46,0.46,47700,355507200
4/8/1981 16:00:00,0.48,0.49,0.48,0.48,98000,355593600
4/9/1981 16:00:00,0.49,0.49,0.49,0.49,55800,355680000
4/10/1981 16:00:00,0.5,0.5,0.5,0.5,149400,355766400
4/13/1981 16:00:00,0.5,0.5,0.5,0.5,71700,356025600
4/14/1981 16:00:00,0.5,0.5,0.5,0.5,29700,356112000
4/15/1981 16:00:00,0.47,0.48,0.47,0.47,152000,356198400
4/16/1981 16:00:00,0.45,0.45,0.45,0.45,106600,356284800
4/20/1981 16:00:00,0.46,0.46,0.46,0.46,157800,356630400
4/21/1981 16:00:00,0.49,0.49,0.49,0.49,127400,356716800
4/22/1981 16:00:00,0.51,0.51,0.51,0.51,84800,356803200
4/23/1981 16:00:00,0.52,0.52,0.52,0.52,259000,356889600
4/24/1981 16:00:00,0.52,0.52,0.52,0.52,156500,356976000
4/27/1981 16:00:00,0.51,0.52,0.51,0.51,172000,357235200
4/28/1981 16:00:00,0.5,0.51,0.5,0.5,143700,357321600
4/29/1981 16:00:00,0.5,0.5,0.5,0.5,60900,357408000
4/30/1981 16:00:00,0.51,0.51,0.51,0.51,56300,357494400
5/1/1981 16:00:00,0.51,0.51,0.51,0.51,73900,357580800
5/4/1981 16:00:00,0.5,0.51,0.5,0.5,64500,357840000
5/5/1981 16:00:00,0.5,0.5,0.5,0.5,78300,357926400
5/6/1981 16:00:00,0.49,0.49,0.49,0.49,84600,358012800
5/7/1981 16:00:00,0.5,0.5,0.5,0.5,41800,358099200
5/8/1981 16:00:00,0.5,0.5,0.5,0.5,35300,358185600
5/11/1981 16:00:00,0.49,0.49,0.49,0.49,53300,358444800
5/12/1981 16:00:00,0.49,0.5,0.49,0.49,19000,358531200
5/13/1981 16:00:00,0.49,0.49,0.49,0.49,21900,358617600
5/14/1981 16:00:00,0.48,0.48,0.48,0.48,22000,358704000
5/15/1981 16:00:00,0.49,0.5,0.49,0.49,21900,358790400
5/18/1981 16:00:00,0.5,0.5,0.5,0.5,18600,359049600
5/19/1981 16:00:00,0.49,0.49,0.49,0.49,113500,359136000
5/20/1981 16:00:00,0.51,0.51,0.51,0.51,59300,359222400
5/21/1981 16:00:00,0.54,0.54,0.54,0.54,143800,359308800
5/22/1981 16:00:00,0.56,0.56,0.56,0.56,140300,359395200
5/26/1981 16:00:00,0.56,0.56,0.56,0.56,381000,359740800
5/27/1981 16:00:00,0.59,0.59,0.59,0.59,667400,359827200
5/28/1981 16:00:00,0.59,0.59,0.59,0.59,330300,359913600
5/29/1981 16:00:00,0.59,0.59,0.59,0.59,265100,360000000
6/1/1981 16:00:00,0.59,0.59,0.59,0.59,228800,360259200
6/2/1981 16:00:00,0.56,0.56,0.56,0.56,180500,360345600
6/3/1981 16:00:00,0.56,0.57,0.56,0.56,176100,360432000
6/4/1981 16:00:00,0.57,0.58,0.57,0.57,250300,360518400
6/5/1981 16:00:00,0.56,0.57,0.56,0.56,257500,360604800
6/8/1981 16:00:00,0.54,0.55,0.54,0.54,417400,360864000
6/9/1981 16:00:00,0.56,0.56,0.56,0.56,533900,360950400
6/10/1981 16:00:00,0.56,0.57,0.56,0.56,112600,361036800
6/11/1981 16:00:00,0.59,0.59,0.59,0.59,174000,361123200
6/12/1981 16:00:00,0.58,0.58,0.58,0.58,115200,361209600
6/15/1981 16:00:00,0.58,0.58,0.58,0.58,641800,361468800
6/16/1981 16:00:00,0.57,0.57,0.57,0.57,166300,361555200
6/17/1981 16:00:00,0.56,0.56,0.56,0.56,123100,361641600
6/18/1981 16:00:00,0.56,0.56,0.56,0.56,102900,361728000
6/19/1981 16:00:00,0.54,0.54,0.54,0.54,122800,361814400
6/22/1981 16:00:00,0.52,0.52,0.52,0.52,48400,362073600
6/23/1981 16:00:00,0.53,0.53,0.53,0.53,67100,362160000
6/24/1981 16:00:00,0.52,0.52,0.52,0.52,102800,362246400
6/25/1981 16:00:00,0.53,0.53,0.53,0.53,108300,362332800
6/26/1981 16:00:00,0.52,0.52,0.52,0.52,106200,362419200
6/29/1981 16:00:00,0.5,0.51,0.5,0.5,47300,362678400
6/30/1981 16:00:00,0.46,0.47,0.46,0.46,160300,362764800
7/1/1981 16:00:00,0.46,0.46,0.46,0.46,761000,362851200
7/2/1981 16:00:00,0.46,0.46,0.46,0.46,135200,362937600
7/6/1981 16:00:00,0.44,0.45,0.44,0.44,73800,363283200
7/7/1981 16:00:00,0.45,0.45,0.45,0.45,70700,363369600
7/8/1981 16:00:00,0.47,0.47,0.47,0.47,74200,363456000
7/9/1981 16:00:00,0.43,0.43,0.43,0.43,146800,363542400
7/10/1981 16:00:00,0.4,0.4,0.4,0.4,246300,363628800
7/13/1981 16:00:00,0.41,0.41,0.41,0.41,204200,363888000
7/14/1981 16:00:00,0.42,0.43,0.42,0.42,88300,363974400
7/15/1981 16:00:00,0.44,0.44,0.44,0.44,48900,364060800
7/16/1981 16:00:00,0.45,0.45,0.45,0.45,68000,364147200
7/17/1981 16:00:00,0.46,0.46,0.46,0.46,88500,364233600
7/20/1981 16:00:00,0.43,0.43,0.43,0.43,105600,364492800
7/21/1981 16:00:00,0.43,0.43,0.43,0.43,142600,364579200
7/22/1981 16:00:00,0.4,0.41,0.4,0.4,101200,364665600
7/23/1981 16:00:00,0.42,0.42,0.42,0.42,153800,364752000
7/24/1981 16:00:00,0.43,0.43,0.43,0.43,128800,364838400
7/27/1981 16:00:00,0.45,0.45,0.45,0.45,77400,365097600
7/28/1981 16:00:00,0.43,0.43,0.43,0.43,102000,365184000
7/29/1981 16:00:00,0.42,0.43,0.42,0.42,69200,365270400
7/30/1981 16:00:00,0.44,0.44,0.44,0.44,44200,365356800
7/31/1981 16:00:00,0.45,0.45,0.45,0.45,48900,365443200
8/3/1981 16:00:00,0.44,0.45,0.44,0.44,55500,365702400
8/4/1981 16:00:00,0.45,0.45,0.45,0.45,141400,365788800
8/5/1981 16:00:00,0.46,0.46,0.46,0.46,78100,365875200
8/6/1981 16:00:00,0.45,0.45,0.45,0.45,47000,365961600
8/7/1981 16:00:00,0.45,0.45,0.45,0.45,41100,366048000
8/11/1981 16:00:00,0.44,0.44,0.44,0.44,319000,366393600
8/12/1981 16:00:00,0.43,0.43,0.43,0.43,117300,366480000
8/13/1981 16:00:00,0.42,0.42,0.42,0.42,122700,366566400
8/14/1981 16:00:00,0.41,0.41,0.41,0.41,108000,366652800
8/17/1981 16:00:00,0.4,0.4,0.4,0.4,84400,366912000
8/18/1981 16:00:00,0.39,0.39,0.39,0.39,75900,366998400
8/19/1981 16:00:00,0.38,0.39,0.38,0.38,92300,367084800
8/20/1981 16:00:00,0.39,0.39,0.39,0.39,76400,367171200
8/21/1981 16:00:00,0.36,0.36,0.36,0.36,187100,367257600
8/24/1981 16:00:00,0.34,0.34,0.34,0.34,103000,367516800
8/25/1981 16:00:00,0.35,0.35,0.35,0.35,181700,367603200
8/26/1981 16:00:00,0.34,0.34,0.34,0.34,150000,367689600
8/27/1981 16:00:00,0.34,0.34,0.34,0.34,115700,367776000
8/28/1981 16:00:00,0.36,0.36,0.36,0.36,169800,367862400
8/31/1981 16:00:00,0.36,0.36,0.36,0.36,182800,368121600
9/1/1981 16:00:00,0.38,0.38,0.38,0.38,165300,368208000
9/2/1981 16:00:00,0.39,0.39,0.39,0.39,86500,368294400
9/3/1981 16:00:00,0.37,0.37,0.37,0.37,167300,368380800
9/4/1981 16:00:00,0.36,0.37,0.36,0.36,68100,368467200
9/8/1981 16:00:00,0.35,0.35,0.35,0.35,113600,368812800
9/9/1981 16:00:00,0.35,0.35,0.35,0.35,136300,368899200
9/10/1981 16:00:00,0.35,0.36,0.35,0.35,155400,368985600
9/11/1981 16:00:00,0.35,0.35,0.35,0.35,78300,369072000
9/14/1981 16:00:00,0.34,0.34,0.34,0.34,123600,369331200
9/15/1981 16:00:00,0.33,0.33,0.33,0.33,87100,369417600
9/16/1981 16:00:00,0.32,0.33,0.32,0.32,86400,369504000
9/17/1981 16:00:00,0.31,0.32,0.31,0.31,86500,369590400
9/18/1981 16:00:00,0.32,0.32,0.32,0.32,117500,369676800
9/21/1981 16:00:00,0.32,0.32,0.32,0.32,218900,369936000
9/22/1981 16:00:00,0.3,0.3,0.3,0.3,211700,370022400
9/23/1981 16:00:00,0.29,0.3,0.29,0.29,125900,370108800
9/24/1981 16:00:00,0.29,0.29,0.29,0.29,81700,370195200
9/25/1981 16:00:00,0.25,0.26,0.25,0.25,154500,370281600
9/28/1981 16:00:00,0.26,0.26,0.26,0.26,409500,370540800
9/29/1981 16:00:00,0.27,0.27,0.27,0.27,422700,370627200
9/30/1981 16:00:00,0.27,0.27,0.27,0.27,223200,370713600
10/1/1981 16:00:00,0.27,0.27,0.27,0.27,272900,370800000
10/2/1981 16:00:00,0.29,0.3,0.29,0.29,201100,370886400
10/5/1981 16:00:00,0.3,0.31,0.3,0.3,192400,371145600
10/6/1981 16:00:00,0.3,0.3,0.3,0.3,126600,371232000
10/7/1981 16:00:00,0.32,0.32,0.32,0.32,173400,371318400
10/8/1981 16:00:00,0.33,0.33,0.33,0.33,138800,371404800
10/9/1981 16:00:00,0.33,0.34,0.33,0.33,243400,371491200
10/12/1981 16:00:00,0.34,0.35,0.34,0.34,122100,371750400
10/13/1981 16:00:00,0.34,0.35,0.34,0.34,197300,371836800
10/14/1981 16:00:00,0.32,0.33,0.32,0.32,138300,371923200
10/15/1981 16:00:00,0.33,0.33,0.33,0.33,131400,372009600
10/16/1981 16:00:00,0.33,0.33,0.33,0.33,162800,372096000
10/19/1981 16:00:00,0.33,0.33,0.33,0.33,91900,372355200
10/20/1981 16:00:00,0.35,0.35,0.35,0.35,159500,372441600
10/21/1981 16:00:00,0.35,0.35,0.35,0.35,343300,372528000
10/22/1981 16:00:00,0.35,0.35,0.35,0.35,144100,372614400
10/23/1981 16:00:00,0.34,0.34,0.34,0.34,124600,372700800
10/26/1981 16:00:00,0.34,0.34,0.34,0.34,121800,372960000
10/27/1981 16:00:00,0.35,0.35,0.35,0.35,382100,373046400
10/28/1981 16:00:00,0.36,0.36,0.36,0.36,197200,373132800
10/29/1981 16:00:00,0.35,0.35,0.35,0.35,136100,373219200
10/30/1981 16:00:00,0.36,0.36,0.36,0.36,235400,373305600
11/2/1981 16:00:00,0.36,0.36,0.36,0.36,164800,373564800
11/3/1981 16:00:00,0.35,0.35,0.35,0.35,126700,373651200
11/4/1981 16:00:00,0.34,0.35,0.34,0.34,106300,373737600
11/5/1981 16:00:00,0.32,0.32,0.32,0.32,104300,373824000
11/6/1981 16:00:00,0.32,0.32,0.32,0.32,109800,373910400
11/9/1981 16:00:00,0.33,0.33,0.33,0.33,91000,374169600
