Date,Open,High,Low,Close,Volume,Timestamp
8/19/2004 16:00:00,50,52.03,47.98,50.16,22353092,1092931200
8/20/2004 16:00:00,50.74,54.54,50.25,54.15,11429498,1093017600
8/23/2004 16:00:00,55.42,56.74,54.52,54.7,9140244,1093276800
8/24/2004 16:00:00,55.65,55.8,51.78,52.43,7632224,1093363200
8/25/2004 16:00:00,52.48,54,51.94,53,4599110,1093449600
8/26/2004 16:00:00,52.55,53.97,52.33,53.95,3551168,1093536000
8/27/2004 16:00:00,54.05,54.31,52.84,53.07,3108977,1093622400
8/30/2004 16:00:00,52.74,52.74,51,51,2601620,1093881600
8/31/2004 16:00:00,51.85,51.85,51.08,51.18,2463427,1093968000
9/1/2004 16:00:00,51.37,51.48,49.83,50.12,4574578,1094054400
9/2/2004 16:00:00,49.51,51.18,49.47,50.75,7567013,1094140800
9/3/2004 16:00:00,50.13,50.87,49.66,50,2578705,1094227200
9/7/2004 16:00:00,50.4,51,49.8,50.79,2927073,1094572800
9/8/2004 16:00:00,50.73,51.51,50.25,51.15,2495226,1094659200
9/9/2004 16:00:00,51.02,51.35,50.5,51.15,2032853,1094745600
9/10/2004 16:00:00,50.8,53.28,50.65,52.66,4353885,1094832000
9/13/2004 16:00:00,53.44,54.2,53.23,53.75,3927322,1095091200
9/14/2004 16:00:00,53.84,56,53.39,55.74,5488357,1095177600
9/15/2004 16:00:00,55.5,57.11,55.1,56,5362452,1095264000
9/16/2004 16:00:00,56.05,57.9,55.82,56.98,4637786,1095350400
9/17/2004 16:00:00,57,58.74,56.77,58.74,4748627,1095436800
9/20/2004 16:00:00,58.46,60.8,58.38,59.68,5332562,1095696000
9/21/2004 16:00:00,59.5,60.21,58.75,58.92,3617903,1095782400
9/22/2004 16:00:00,58.4,59.83,58.4,59.19,3794393,1095868800
9/23/2004 16:00:00,59.08,61.31,58.51,60.41,4273082,1095955200
9/24/2004 16:00:00,61.34,62.05,59.88,59.91,4566707,1096041600
9/27/2004 16:00:00,60.44,60.44,58.9,59.13,3536818,1096300800
9/28/2004 16:00:00,60.52,63.7,60.1,63.43,8476027,1096387200
9/29/2004 16:00:00,63.5,67.51,63.11,65.54,15274991,1096473600
9/30/2004 16:00:00,65.11,66.15,64.5,64.8,6890125,1096560000
10/1/2004 16:00:00,65.31,67.12,64.45,66.29,7571329,1096646400
10/4/2004 16:00:00,67.91,68.43,67.01,67.53,6541875,1096905600
10/5/2004 16:00:00,67.7,69.26,66.12,69.18,7507251,1096992000
10/6/2004 16:00:00,69.22,69.22,68,68.54,6699883,1097078400
10/7/2004 16:00:00,68.54,69.94,68.27,69.42,7066873,1097164800
10/8/2004 16:00:00,69.75,69.84,68.51,68.86,5543874,1097251200
10/11/2004 16:00:00,69.06,69.43,66.92,67.63,5249263,1097510400
10/12/2004 16:00:00,67.3,68.8,66.7,68.7,5920143,1097596800
10/13/2004 16:00:00,71.66,71.77,70.04,70.45,9894833,1097683200
10/14/2004 16:00:00,70.45,71.19,69.28,71,5234304,1097769600
10/15/2004 16:00:00,72,72.75,70.97,72.05,6604448,1097856000
10/18/2004 16:00:00,71.59,74.59,70.6,74.58,7032780,1098115200
10/19/2004 16:00:00,75.5,76.2,73.67,73.97,9069401,1098201600
10/20/2004 16:00:00,74.36,74.49,69.8,70.24,11389627,1098288000
10/21/2004 16:00:00,71.98,75.06,70.81,74.69,14998000,1098374400
10/22/2004 16:00:00,85.16,90.08,82.04,86.21,36919840,1098460800
10/25/2004 16:00:00,86.99,97.21,86.27,93.7,32775276,1098720000
10/26/2004 16:00:00,94.92,96.32,90,90.9,22313860,1098806400
10/27/2004 16:00:00,91.14,94.76,90.88,92.98,13373482,1098892800
10/28/2004 16:00:00,92.8,97.19,92.8,96.65,14856604,1098979200
10/29/2004 16:00:00,99.18,99.97,95.3,95.32,21183466,1099065600
11/1/2004 16:00:00,96,98.83,95.63,98.01,12233618,1099324800
11/2/2004 16:00:00,99.33,99.62,96.67,97.43,11365995,1099411200
11/3/2004 16:00:00,99.75,100.8,95.37,95.83,13897606,1099497600
11/4/2004 16:00:00,94.12,95.2,91.67,92.35,14474388,1099584000
11/5/2004 16:00:00,90.5,91.15,84.27,84.67,19852002,1099670400
11/8/2004 16:00:00,85.46,87.72,84.7,86.27,11200077,1099929600
11/9/2004 16:00:00,86.12,87.6,82.63,84.35,11160536,1100016000
11/10/2004 16:00:00,84,86.26,83.16,83.93,10651413,1100102400
11/11/2004 16:00:00,84.56,91.87,83.78,91.51,15023209,1100188800
